[18:07:18][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[18:37:22][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[18:37:23][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[22:34:38][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[22:34:38][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[22:34:38][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[01:22:24][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[01:22:26][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[01:22:26][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[04:32:40][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[04:32:42][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[04:32:42][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[09:55:31][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[09:55:31][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[09:55:31][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[10:20:39][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[10:20:39][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[10:20:40][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[14:53:27][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[14:53:29][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
[14:53:33][INFO] download fgis_consumer.py:run:36 |  [*] Start Consumer | Mode download
