2018-07-03 18:42:28,446 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 18:43:01,328 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 18:47:49,364 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 18:47:49,364 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 18:47:49,368 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 19:00:32,034 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 19:00:32,048 - order - INFO -  [*] Start Consumer | Mode order
2018-07-03 19:00:32,060 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 01:20:29,975 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 01:20:30,131 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 01:20:30,168 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 10:15:34,715 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 10:15:35,131 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 10:15:35,213 - order - INFO -  [*] Start Consumer | Mode order
2018-07-04 10:43:52,326 - order - INFO -  [*] Start Consumer | Mode order
